排名,片名,评分,评语
155,头号玩家,8.6,
156,模仿游戏,8.8,
157,大鱼,8.8,
158,惊魂记,9.0,
159,射雕英雄传之东成西就,8.7,
160,血战钢锯岭,8.7,
161,心灵奇旅,8.7,
162,你的名字。,8.5,
163,背靠背，脸对脸,9.5,
164,我是山姆,9.0,
165,阳光姐妹淘,8.8,
166,恐怖直播,8.7,
167,黑客帝国3：矩阵革命,8.8,
168,机器人之梦,9.1,
169,小丑,8.7,
170,三块广告牌,8.7,
171,谍影重重3,8.9,
172,电锯惊魂,8.7,
173,无间道2,8.8,
174,末路狂花,9.0,
175,达拉斯买家俱乐部,8.8,
176,高山下的花环,9.5,
177,疯狂原始人,8.7,
178,绿里奇迹,8.9,
179,爱在午夜降临前,8.9,
180,疯狂的石头,8.6,
181,海街日记,8.8,
182,雨中曲,9.1,
183,2001太空漫游,8.9,
184,风之谷,8.9,
185,上帝之城,9.0,
186,心迷宫,8.7,
187,英雄本色,8.6,
188,记忆碎片,8.7,
189,纵横四海,8.8,
190,无敌破坏王,8.7,
191,卢旺达饭店,8.9,
192,小偷家族,8.7,
193,东京教父,9.0,
194,恐怖游轮,8.5,
195,牯岭街少年杀人事件,8.9,
196,冰川时代,8.7,
197,魔女宅急便,8.7,
198,芙蓉镇,9.3,
199,忠犬八公物语,9.2,
200,岁月神偷,8.7,
201,荒蛮故事,8.7,
202,遗愿清单,8.7,
203,大佛普拉斯,8.7,
204,源代码,8.6,
205,花束般的恋爱,8.6,
206,疯狂的麦克斯4：狂暴之路,8.7,
207,你看起来好像很好吃,8.9,
208,贫民窟的百万富翁,8.6,
209,可可西里,8.9,
210,白日梦想家,8.6,
211,城市之光,9.3,
212,波西米亚狂想曲,8.6,
213,爆裂鼓手,8.6,
214,东邪西毒,8.6,
215,青蛇,8.6,
216,爱乐之城,8.4,
217,哈利·波特与死亡圣器(上),8.6,
218,无耻混蛋,8.7,
219,终结者2：审判日,8.8,
220,黑天鹅,8.6,
221,大红灯笼高高挂,8.8,
222,新龙门客栈,8.7,
223,初恋这件小事,8.5,
224,人工智能,8.7,
225,千钧一发,8.8,
226,崖上的波妞,8.6,
227,雨人,8.7,
228,虎口脱险,8.9,
229,哈利·波特与凤凰社,8.6,
230,罗生门,8.8,
231,彗星来的那一夜,8.6,
232,海边的曼彻斯特,8.6,
233,恋恋笔记本,8.5,
234,真爱至上,8.5,
235,火星救援,8.5,
236,黑客帝国2：重装上阵,8.7,
237,步履不停,8.8,
238,奇迹男孩,8.6,
239,千年女优,8.8,
240,冰雪奇缘,8.5,
241,战争之王,8.7,
242,谍影重重2,8.7,
243,蜘蛛侠：平行宇宙,8.6,
244,攻壳机动队,9.0,
245,血钻,8.7,
246,魂断蓝桥,8.8,
247,隐藏人物,8.9,
248,小姐,8.5,
249,房间,8.7,
250,血观音,8.6,
